날짜,설치한 사용자 수: Android 14,설치한 사용자 수: 설치한 사용자 수(Android 14),설치한 사용자 수: 동종 앱 중앙값(Android 14),설치한 사용자 수: Android 11,설치한 사용자 수: 설치한 사용자 수(Android 11),설치한 사용자 수: 동종 앱 중앙값(Android 11),설치한 사용자 수: Android 13,설치한 사용자 수: 설치한 사용자 수(Android 13),설치한 사용자 수: 동종 앱 중앙값(Android 13),참고사항
2024년 8월 29일,21%,260,27%,69%,846,14%,5%,64,24%,
2024년 8월 30일,22%,274,27%,68%,839,14%,5%,68,24%,
2024년 8월 31일,23%,286,27%,67%,841,13%,5%,65,24%,
2024년 9월 1일,23%,287,27%,67%,836,13%,5%,60,24%,
2024년 9월 2일,23%,286,27%,66%,811,13%,5%,66,24%,
2024년 9월 3일,24%,306,27%,65%,823,13%,5%,68,24%,
2024년 9월 4일,24%,304,28%,65%,834,13%,6%,75,24%,버전 출시: 100%를 대상으로 86 (72.10.1) 출시 시작됨.
2024년 9월 5일,25%,323,27%,64%,838,13%,6%,75,24%,
2024년 9월 6일,25%,323,27%,63%,816,14%,6%,83,24%,
2024년 9월 7일,24%,317,27%,65%,847,14%,6%,75,24%,
2024년 9월 8일,24%,312,27%,65%,859,14%,6%,78,24%,
2024년 9월 9일,26%,336,27%,62%,817,14%,6%,82,24%,
2024년 9월 10일,26%,340,27%,62%,805,14%,7%,85,24%,
2024년 9월 11일,26%,338,28%,63%,828,13%,6%,83,24%,
2024년 9월 12일,25%,331,28%,64%,850,13%,6%,84,24%,
2024년 9월 13일,26%,355,28%,62%,847,13%,6%,86,24%,
2024년 9월 14일,27%,355,28%,61%,822,13%,7%,94,24%,
2024년 9월 15일,27%,366,29%,61%,844,13%,6%,88,24%,
2024년 9월 16일,27%,359,29%,60%,810,13%,7%,99,24%,
2024년 9월 17일,27%,363,29%,60%,808,13%,8%,102,24%,
2024년 9월 18일,27%,376,29%,60%,831,13%,7%,97,24%,
2024년 9월 19일,28%,376,29%,60%,814,13%,7%,101,24%,
2024년 9월 20일,28%,389,29%,59%,829,13%,7%,96,24%,
2024년 9월 21일,28%,388,29%,59%,832,13%,7%,97,24%,
2024년 9월 22일,28%,392,28%,59%,816,13%,7%,101,24%,
2024년 9월 23일,28%,393,28%,60%,828,13%,7%,95,24%,
2024년 9월 24일,29%,413,29%,58%,833,13%,7%,99,24%,
2024년 9월 25일,29%,414,29%,58%,822,13%,7%,99,24%,
2024년 9월 26일,30%,420,29%,57%,804,13%,7%,105,24%,버전 출시: 100%를 대상으로 89 (72.10) 출시 시작됨.
2024년 9월 27일,29%,416,29%,58%,829,13%,8%,110,24%,
2024년 9월 28일,30%,431,29%,57%,812,13%,8%,111,24%,
2024년 9월 29일,30%,428,29%,57%,817,13%,8%,112,24%,
2024년 9월 30일,30%,434,29%,56%,826,13%,8%,114,24%,
2024년 10월 1일,31%,456,29%,56%,821,13%,8%,113,24%,
2024년 10월 2일,31%,450,29%,55%,814,13%,8%,117,24%,
2024년 10월 3일,31%,459,30%,56%,833,13%,8%,115,24%,
2024년 10월 4일,31%,464,30%,56%,836,13%,8%,116,24%,
2024년 10월 5일,30%,458,30%,56%,838,13%,8%,123,23%,
2024년 10월 6일,31%,465,30%,55%,835,13%,8%,121,23%,버전 출시: 100%를 대상으로 90 (72.11) 출시 시작됨.
2024년 10월 7일,32%,477,30%,54%,818,13%,8%,117,23%,
2024년 10월 8일,32%,474,30%,55%,820,13%,8%,119,23%,
2024년 10월 9일,31%,479,30%,55%,834,13%,8%,123,23%,
2024년 10월 10일,32%,478,30%,54%,814,13%,8%,126,23%,
2024년 10월 11일,32%,480,30%,54%,822,13%,8%,125,23%,
2024년 10월 12일,32%,490,30%,54%,819,13%,8%,126,24%,
2024년 10월 13일,34%,488,30%,51%,747,13%,9%,131,24%,
2024년 10월 14일,34%,481,30%,51%,732,13%,9%,124,24%,
2024년 10월 15일,34%,501,31%,51%,739,13%,9%,126,23%,
2024년 10월 16일,35%,512,31%,50%,738,13%,9%,133,23%,
2024년 10월 17일,36%,525,31%,49%,728,13%,9%,130,23%,
2024년 10월 18일,35%,528,30%,50%,749,13%,9%,134,23%,
2024년 10월 19일,35%,523,31%,49%,732,13%,9%,139,23%,
2024년 10월 20일,36%,528,31%,49%,714,13%,9%,133,23%,
2024년 10월 21일,35%,517,31%,48%,706,13%,10%,144,23%,
2024년 10월 22일,36%,523,31%,49%,725,12%,9%,133,23%,
2024년 10월 23일,36%,531,31%,49%,726,12%,10%,144,23%,
2024년 10월 24일,36%,539,31%,48%,716,12%,9%,138,23%,
2024년 10월 25일,37%,546,31%,48%,714,13%,9%,141,24%,
2024년 10월 26일,37%,558,31%,48%,721,13%,9%,139,24%,
2024년 10월 27일,38%,563,31%,48%,713,13%,9%,132,24%,
2024년 10월 28일,37%,557,31%,47%,704,13%,10%,144,24%,
2024년 10월 29일,38%,569,31%,47%,711,12%,9%,142,24%,
2024년 10월 30일,38%,576,31%,47%,716,12%,9%,142,24%,
2024년 10월 31일,39%,600,31%,46%,704,12%,9%,146,24%,
2024년 11월 1일,38%,591,32%,46%,704,12%,10%,149,23%,
2024년 11월 2일,37%,584,32%,47%,736,12%,10%,159,23%,
2024년 11월 3일,39%,610,32%,45%,713,12%,10%,155,23%,
2024년 11월 4일,39%,628,32%,45%,717,12%,10%,165,23%,
2024년 11월 5일,40%,635,31%,44%,708,12%,10%,160,23%,
2024년 11월 6일,39%,626,31%,45%,711,12%,10%,157,23%,
2024년 11월 7일,39%,637,32%,44%,716,12%,10%,164,23%,
2024년 11월 8일,40%,648,32%,44%,715,12%,10%,161,23%,
2024년 11월 9일,40%,639,32%,44%,706,12%,10%,155,23%,
2024년 11월 10일,40%,648,32%,44%,708,12%,10%,158,23%,
2024년 11월 11일,41%,652,32%,44%,702,12%,10%,157,23%,
2024년 11월 12일,41%,663,32%,43%,707,12%,10%,163,23%,
2024년 11월 13일,41%,669,32%,43%,712,12%,10%,166,23%,
2024년 11월 14일,41%,683,32%,43%,714,12%,10%,165,23%,
2024년 11월 15일,41%,686,32%,43%,726,12%,10%,168,23%,
2024년 11월 16일,41%,688,32%,43%,729,12%,10%,172,23%,
2024년 11월 17일,41%,688,32%,43%,719,12%,10%,169,23%,
2024년 11월 18일,42%,706,32%,42%,709,12%,10%,169,23%,
2024년 11월 19일,42%,706,32%,42%,708,12%,10%,169,23%,
2024년 11월 20일,41%,700,32%,42%,713,12%,10%,169,23%,
2024년 11월 21일,42%,717,32%,41%,702,12%,10%,176,23%,
2024년 11월 22일,42%,705,32%,42%,703,12%,10%,174,23%,
2024년 11월 23일,42%,720,33%,41%,713,12%,10%,176,23%,
2024년 11월 24일,42%,717,33%,41%,687,12%,10%,173,23%,
2024년 11월 25일,42%,727,33%,41%,713,12%,10%,181,23%,
2024년 11월 26일,42%,743,33%,40%,703,12%,11%,184,23%,
2024년 11월 27일,43%,741,33%,40%,694,12%,10%,175,23%,
2024년 11월 28일,42%,726,33%,40%,696,12%,11%,182,23%,
2024년 11월 29일,43%,752,33%,39%,688,12%,11%,189,23%,
2024년 11월 30일,42%,737,33%,41%,719,12%,10%,183,23%,
2024년 12월 1일,43%,758,33%,40%,710,12%,10%,185,23%,
2024년 12월 2일,43%,749,33%,40%,690,12%,11%,186,23%,
2024년 12월 3일,43%,767,33%,39%,695,12%,10%,180,23%,
2024년 12월 4일,43%,764,33%,39%,697,12%,11%,189,23%,
2024년 12월 5일,43%,763,33%,40%,708,12%,11%,191,23%,
2024년 12월 6일,44%,782,34%,40%,710,12%,10%,184,23%,
2024년 12월 7일,44%,769,34%,39%,685,12%,11%,190,23%,
2024년 12월 8일,44%,788,34%,38%,669,12%,11%,191,23%,
2024년 12월 9일,44%,794,34%,39%,700,12%,11%,196,22%,
2024년 12월 10일,45%,811,34%,38%,689,12%,11%,194,23%,
2024년 12월 11일,44%,806,34%,39%,724,12%,10%,182,23%,
2024년 12월 12일,45%,810,34%,38%,694,12%,10%,189,23%,
2024년 12월 13일,44%,808,34%,39%,719,12%,10%,190,23%,
2024년 12월 14일,44%,805,34%,38%,691,12%,11%,198,23%,
2024년 12월 15일,44%,802,34%,38%,698,12%,11%,192,23%,
2024년 12월 16일,45%,816,34%,38%,687,12%,11%,195,23%,
2024년 12월 17일,45%,827,34%,37%,682,12%,11%,193,22%,
2024년 12월 18일,45%,837,35%,37%,693,12%,10%,194,22%,
2024년 12월 19일,45%,849,35%,37%,694,12%,10%,195,22%,
2024년 12월 20일,45%,826,35%,38%,708,12%,10%,193,22%,
2024년 12월 21일,44%,824,35%,38%,709,11%,10%,193,22%,
2024년 12월 22일,45%,841,35%,37%,701,11%,11%,201,22%,
2024년 12월 23일,45%,848,35%,38%,712,11%,10%,196,22%,
2024년 12월 24일,45%,852,35%,38%,712,11%,10%,197,22%,
2024년 12월 25일,46%,856,35%,37%,696,11%,10%,192,22%,
2024년 12월 26일,46%,848,35%,36%,676,11%,11%,199,22%,
2024년 12월 27일,46%,868,35%,36%,680,11%,11%,204,22%,
2024년 12월 28일,46%,884,35%,37%,707,11%,11%,204,22%,
2024년 12월 29일,46%,890,35%,37%,711,11%,11%,210,22%,
2024년 12월 30일,46%,886,35%,37%,711,11%,11%,204,22%,
2024년 12월 31일,46%,894,35%,36%,700,11%,10%,203,22%,버전 출시: 100%를 대상으로 91 (72.12) 출시 시작됨.
2025년 1월 1일,46%,894,35%,36%,701,11%,10%,201,22%,
2025년 1월 2일,46%,892,35%,37%,718,11%,11%,210,22%,
2025년 1월 3일,46%,906,35%,36%,701,11%,11%,209,22%,
2025년 1월 4일,47%,925,35%,36%,712,11%,10%,207,22%,
2025년 1월 5일,47%,909,35%,35%,687,11%,11%,208,22%,
2025년 1월 6일,46%,899,35%,36%,703,11%,10%,202,22%,
2025년 1월 7일,47%,917,35%,35%,696,11%,11%,208,22%,
2025년 1월 8일,47%,932,35%,35%,704,11%,11%,212,22%,
2025년 1월 9일,48%,952,35%,35%,696,11%,10%,207,22%,
2025년 1월 10일,47%,953,35%,34%,690,11%,11%,222,22%,
2025년 1월 11일,47%,941,35%,35%,694,11%,11%,216,22%,
2025년 1월 12일,47%,961,35%,35%,712,11%,11%,219,22%,
2025년 1월 13일,48%,970,35%,34%,677,11%,11%,219,22%,
